;iteration;cost;upper_bound;rho
0;0;2995835.442322217;0.0;5
1;1;726306.4048212115;3225980.7252854444;5
2;2;6979.936624317414;814354.0563850207;5
3;3;1443.4240935745383;150357.606462993;5
4;4;1394.5515314544982;16736.57997975967;5
5;5;1366.69023350582;13228.397601075414;5
6;6;719.735202313533;4055.6312119921818;5
7;7;-965.3035376899221;28820.77509921966;5
8;8;-1300.0934266611657;36696.3470016365;5
9;9;-1701.124457780626;8740.119606785576;5
10;10;-1712.166140421997;4560.226015697017;5
11;11;-2626.872530011662;4661.650597176094;5
12;12;-2628.8308371471276;3565.72371471146;5
13;13;-2787.156614553578;1529.6180728493623;5
14;14;-2829.4123128221418;3757.526016165667;5
15;15;-2838.3208262088533;1916.2049694316352;5
16;16;-2838.5546502190273;1017.8370665652918;5
17;17;-2845.1745813207635;1011.2759068848134;5
18;18;-2845.4866533996783;943.38486417894;5
19;19;-3083.9450946694747;983.2925945337428;5
20;20;-3089.94936680886;24.03743210745291;5
21;21;-3092.600820262893;121.82455488774698;5
22;22;-3095.1872150120494;35.91962233382577;5
23;23;-3101.709816410628;29.358852685923416;5
24;24;-3103.019116653364;17.903528215796776;5
25;25;-3103.696393250598;4.504706576288619;5
26;26;-3103.7686203355684;4.9392669618978395;5
27;27;-3104.5750618335023;4.804094851914634;5
28;28;-3104.9841517015666;5.295665134576575;5
29;29;-3105.504789136068;9.27013287049644;5
30;30;-3105.5043674467206;0.01648733507111455;5
31;31;-3105.5046534382886;5.077040378012892;5
32;32;-3105.504666838746;0.0068788807120157;5
33;33;-3105.504785588952;0.008497219493117214;5
34;34;-3105.5048085547473;0.007146170544584329;5
35;35;-3105.5048141947996;0.003341265666383819;5
36;36;-3105.5048152858885;0.0013842597457491834;5
37;37;-3105.5048156535277;0.060420696637717874;5
38;38;-3105.504815680781;0.0026420158388305026;5
39;39;-3105.504628695715;0.006535473563296534;5
40;40;-3105.5048156849257;4.385860978544674;5
41;41;-3105.504620945264;0.00567220910959243;5
42;42;-3105.5048156853254;3.9487348666385724;5
43;43;-3105.50481568537;0.006426670715627303;5
44;44;-3105.5048156853686;0.0056132648977840205;5
45;45;-3105.5048156853677;0.001134878298274522;5
46;46;-3105.5048156853622;0.007549892145481074;5
47;47;-3105.504815685306;0.00550324554906112;5
48;48;-3105.5048156853645;0.009673309936205854;5
49;49;-3105.504815685343;0.008309927808014095;5
50;50;-3105.50383727768;0.013307441359072136;5
51;51;-3105.5048156853577;8.683710256115909;5
52;52;-3105.5048156853713;0.013591917381279295;5
53;53;-3105.5038227950317;0.007934300104006198;5
54;54;-3105.5048156853654;41.648231882951414;5
55;55;-3105.504602251275;0.007314546080478657;5
56;56;-3105.5048156853604;4.38427138232257;5
57;57;-3105.5048156853163;0.009130485508154429;5
58;58;-3105.5048156853654;0.010511184319362599;5
59;59;-3105.5046239614758;0.0031841102645824293;5
60;60;-3105.504815685363;22.365293341568083;5
61;61;-3105.504628524115;0.0038230615298200377;5
62;62;-3105.5048156853527;4.306236439311704;5
63;63;-3105.5048156853636;0.010524422108430187;5
64;64;-3105.5048156853763;0.008587816621913547;5
65;65;-3105.504815685366;0.005097511075629058;5
66;66;-3105.5046196186686;0.008530070391206124;5
67;67;-3105.50481568532;3.8954058527121393;5
68;68;-3105.504815685183;0.007372114443549904;5
69;69;-3105.50481568537;0.022695778346088602;5
70;70;-3105.504815684485;0.005570502005486588;5
71;71;-3105.5048156853795;0.05070385643699904;5
72;72;-3105.504472622327;0.0028850618838731634;5
73;73;-3105.50481568537;5.85076926744059;5
74;74;-3105.5048156853713;0.0057969197414475815;5
75;75;-3105.504815685373;0.005699946530571154;5
76;76;-3105.504815685371;0.005341910991273124;5
77;77;-3105.5048156853654;0.0027827140849074894;5
78;78;-3105.504815684848;0.007394116749223301;5
79;79;-3105.504815685248;0.007202907263287983;5
